,text,cleared_text,target
97,"ПЕРЕРЫВ сегодня в Хагерстауне произошла смертельная авария на мотоцикле, произошедшая с автомобилем. Более подробную информацию я расскажу на  @  .",перерыв сегодня хагерстауне произойти смертельный авария мотоцикл произойти автомобиль более подробный информация рассказать,1
98, это ты мариновал или это было случайно,мариновать случайно,0
99,"у меня была машина не больше недели, и я попал в чертову автомобильную аварию      ",машина больше неделя попасть чертову автомобильный авария,1
100,". @  Бахрейнские полицейские ранее погибли в результате дорожно-транспортного происшествия, они не были убиты взрывом ",бахрейнский полицейский ранее погибнуть результат дорожный транспортный происшествие убить взрыв,1
101,"Я до сих пор не слышал, чтобы церковные лидеры Кении выступили с комментариями по поводу аварии и дисциплинарных мерах # ",сей пора слышать церковный лидер кения выступить комментариями повод авария дисциплинарный мера,0
102,    и игра ,игра,0
103,"Человек, который сможет двигаться дальше, когда усилия станут болезненными, - это тот, кто победит.
 Роджер Баннистер",человек смочь двигаться дальше усилие стать болезненный победить роджер баннистер,0
104, ИК   |  |  |       ‰ Û ,ик | | |,0
105,Нет победы по бросовым ценам подвала Дуайт Дэвид Эйзенхауэр,победа бросовый цена подвал дуайт дэвид эйзенхауэр,0
106, ИК   |  |  |       ‰ Û ,ик | | |,0
107,"Никто не помнит, кто занял второе место Чарльз Шульц",никто помнить занять второй место чарльз шульц,0
108," Я говорю от кого-то, кто использует  на , большинство из них, в конечном итоге, также получат ",говорить использовать большинство конечный итог также получить,0
109,"Чем сложнее конфликт, тем славнее триумф Томаса Пейна",сложный конфликт славнее триумф томас пейна,0
110, собирается стрелять по глиняным голубям и плакать из-за афтершока.,собираться стрелять глиняный голубям плакать афтершок,0
111,"Так что я думаю, что никому на самом деле не нужен бесплатный  .",думать никто дело нужный бесплатный,0
112,"Афтершок был самым ужасающим из лучших американских горок, на которых я когда-либо был. ОТКАЗ ОТ ОТВЕТСТВЕННОСТИ Я был на очень немногих",афтершок самым ужасать хороший американский горка либо отказ ответственности очень немногих,0
113,Афтершок ,афтершок,0
114, ИК   |  |  |       ‰ Û ,ик | | |,0
115, ИК   |  |  |       ‰ Û ,ик | | |,0
116, ИК   |  |  |       ‰ Û ,ик | | |,0
117, Я вижу их и выпуски на афтершоке,видеть выпуск афтершок,0
118, ИК   |  |  |       ‰ Û ,ик | | |,0
119, ИК   |  |  |       ‰ Û ,ик | | |,0
120," БОНУС -минутные ежедневные привычки, которые действительно могут улучшить вашу жизнь Сколько вы уже делаете лайфхаки ",бонус -минутные ежедневный привычка действительно улучшить ваш жизнь сколько делать лайфхак,0
121, Защитите себя и прибыль в следующем глобальном финансовом кризисе Дэвид Видемер  ,защитите прибыль следующий глобальный финансовый кризис дэвид видемер,0
122,"В тот момент, когда вы попадаете на страшные американские горки, а парень позади вас просто кричит кровавое убийство  ",момент попадать страшный американский горки парень позади просто кричать кровавый убийство,0
123, ã ¢   ã ¢   ,ã ¢ ã ¢,0
124,"; &  Афтершок за  долларов: защитите себя и прибыль в следующей книге о глобальных финансах 
 ",афтершок доллар защитить прибыль следующий книга глобальный финансах,0
125,"Иногда вы сталкиваетесь с трудностями не потому, что делаете что-то не так, а потому, что делаете что-то правильно Джоэл Остин",иногда сталкиваться трудность потому делать потому делать правильно джоэл остин,0
126,"Единственное, что стоит между вами и вашей мечтой, - это желание попробовать и вера в то, что это действительно возможно. Джоэл Браун",единственный стоить между ваш мечта желание попробовать вера действительно возможный джоэл браун,0
127,"Слава Богу за то, что у нас есть служение, которое говорит об этом так, как будто оно сейчас является изучением Библии ",слава бог служение говорить будто сейчас являться изучение библия,0
128,"Память о том, что ты умрешь, - это лучший из известных мне способов избежать ловушки мысли, что тебе есть что терять ‰ Стив Джобс",память умрешь хороший известный способ избежать ловушка мысль терять стив джобс,0
129,"Сегодня попробовал апельсиновый афтершок, Моя жизнь никогда не будет прежней.",сегодня попробовать апельсиновый афтершок жизнь никогда прежний,0
130, я люблю тебя ,любить,0
131,Афтершок ,афтершок,0
132,"Афтершок, возвращение в школу, было отличным началом, я хочу поблагодарить всех за то, что сделали это возможным. Какая отличная ночь",афтершок возвращение школа отличный начало хотеть поблагодарить сделать возможный какой отличный ночь,0
133,"Люди, которые говорят, что это невозможно сделать, не должны перебивать тех, кто это делает ‰ ÛÒ Джордж Бернард Шоу",человек говорить невозможный сделать должный перебивать делать джордж бернард шоу,0
134,"Первый получает устрицу, второй получает раковину Эндрю Карнеги",первый получать устрица второй получать раковина эндрю карнеги,0
135,Кому-нибудь понадобится   сегодня вечером Я играю в      @    @  @  ,нибудь понадобиться сегодня вечер играть,0
136,"Эксперты во Франции приступили к изучению обломков самолетов, обнаруженных на острове Реюньон. Французские эксперты по авиационным происшествиям   ",эксперт франция приступить изучение обломок самолёт обнаружить остров реюньон французский эксперт авиационный происшествие,1
137,Строгая ответственность в случае авиакатастрофы Ошибка пилота является частым компонентом большинства авиационных . ://./............................................................................................................................................................................................................,строгий ответственность случай авиакатастрофа ошибка пилот являться частый компонент большинство авиационный,1
138,: ваши шансы умереть в авиакатастрофе -  из ,ваш шанс умереть авиакатастрофа,0
139,"Французские эксперты приступили к изучению обломков самолетов, обнаруженных на острове Реюньон. Французские эксперты по авиационным происшествиям на сайте  ",французский эксперт приступить изучение обломок самолёт обнаружить остров реюньон французский эксперт авиационный происшествие сайт,1
140,"  они попали в авиакатастрофу, и они собираются умереть, какие милашки, хорошая работа",попасть авиакатастрофа собираться умереть какой милашка хороший работа,1
141,"члены семьи Усамы бен Ладена погибли в авиакатастрофе, как иронично я подозреваю, что правительство дерьмо",член семья усама бен ладен погибнуть авиакатастрофа иронично подозревать правительство дерьмо,1
142,Человек попал в аварию с двигателем самолета  через ,человек попасть авария двигатель самолёт через,1
143,Ужасная авария мужчина погиб в крыльях самолета    ,ужасный авария мужчина погибнуть крыло самолёт,1
144," июля  г. в результате крушения самолета  в Окампо-Коауила, Мексика, погибли четыре человека, в том числе правительственный чиновник штата Коауила.",июль г результат крушение самолёт окампо коауила мексика погибнуть четыре человек число правительственный чиновник штат коауила,1
145,Ужасная авария Мужчина погиб в крыльях самолета     ,ужасный авария мужчина погибнуть крыло самолёт,1
146,"Эксперты во Франции начинают изучать обломки самолетов, обнаруженные на острове Реюньон  Французские эксперты по авиационным происшествиям в среду ‰ Û",эксперт франция начинать изучать обломок самолёт обнаружить остров реюньон французский эксперт авиационный происшествие среда,1
147,"Эксперты во Франции приступили к изучению обломков самолетов, обнаруженных на острове Реюньон. В среду французские эксперты по авиационным происшествиям приступили к изучению обломков самолетов.",эксперт франция приступить изучение обломок самолёт обнаружить остров реюньон среда французский эксперт авиационный происшествие приступить изучение обломок самолёт,1
148,"     Члены семьи, погибшие в авиакатастрофе",член семья погибнуть авиакатастрофа,1
149,"Я чуть не отправил коллеге обнаженные фотографии случайно, слава богу, за режим полета",чуть отправить коллега обнажить фотография случайно слава бог режим полёт,0
150,  Это или они могут быть убиты в авиакатастрофе ночью в автокатастрофе Политика в лучшем виде,убить авиакатастрофа ночь автокатастрофа политик хороший вид,0
151,"Эксперты во Франции приступили к изучению обломков самолетов, обнаруженных на острове Реюньон. Французские эксперты по авиационным происшествиям на сайте  .",эксперт франция приступить изучение обломок самолёт обнаружить остров реюньон французский эксперт авиационный происшествие сайт,1
152,"Это невероятно безумие
 человек аэропорт самолет самолет самолет взлетно-посадочная полоса авария причудливый ‰ Û ",невероятно безумие человек аэропорт самолёт самолёт самолёт взлетно посадочный полоса авария причудливый,1
153,Ужасная авария | Мужчина погиб в крыльях самолета (   ,ужасный авария | мужчина погибнуть крыло самолёт,1
154,Ужасная авария Мужчина погиб в крыльях самолета    ,ужасный авария мужчина погибнуть крыло самолёт,1
155,Семья Усамы бен Ладинса погибла в авиакатастрофе Естественно не случайно,семья усама бен ладинса погибнуть авиакатастрофа естественно случайно,1
156,Пилот погиб в авиакатастрофе на автомобильном фестивале  через        ,пилот погибнуть авиакатастрофа автомобильный фестиваль через,1
157,Строгая ответственность в случае авиакатастрофы ,строгий ответственность случай авиакатастрофа,1
158,"Французские эксперты   приступили к изучению обломков самолетов, обнаруженных на острове Реюньон. Французская авиакатастрофа  ",французский эксперт приступить изучение обломок самолёт обнаружить остров реюньон французский авиакатастрофа,1
159,"Эксперты во Франции приступили к изучению обломков самолетов, обнаруженных на острове Реюньон. Французские эксперты по авиационным происшествиям на сайте  ",эксперт франция приступить изучение обломок самолёт обнаружить остров реюньон французский эксперт авиационный происшествие сайт,1
160,Ужасная авария Человек погиб в крыльях ‰ ÛÏ самолета ‰ Û       ‰ Ûª    ‰ ÛÒ ,ужасный авария человек погибнуть крыло самолёт,1
161,"+ Николь Флетчер одна из жертв авиакатастрофы несколько раз назад

 Несчастный случай оставил для нее небольшую травму. Хотя она

 +",+ николь флетчер жертва авиакатастрофа несколько раз назад несчастный случай оставить небольшой травма хотя +,1
162, Ужасный несчастный мужчина погиб в крыльях самолета ,ужасный несчастный мужчина погибнуть крыло самолёт,1
163,", я не верю этому , братан
 Авиакатастрофа     ",верить братан авиакатастрофа,1
164,"Эксперты во Франции приступили к изучению обломков самолетов, обнаруженных на острове Реюньон. В среду французские эксперты по авиационным происшествиям приступили к изучению обломков самолетов.",эксперт франция приступить изучение обломок самолёт обнаружить остров реюньон среда французский эксперт авиационный происшествие приступить изучение обломок самолёт,1
165,Я попал в авиакатастрофу,попасть авиакатастрофа,1
166,"Мой телефон выглядит так, как будто он попал в аварию на автомобиле, корабле, самолете Ужасно",телефон выглядеть будто попасть авария автомобиль корабль самолёт ужасно,0
167,"По статистике, я больше подвержен риску быть убитым копом, чем погибнуть в авиакатастрофе.",статистика больше подверженный риск убить копом погибнуть авиакатастрофа,0
168,самолет разбился у дома в Колумбии В результате аварии погибло  человек ,самолёт разбиться дом колумбия результат авария погибнуть человек,1
169,Стрельба или авиакатастрофа ,стрельба авиакатастрофа,1
170,"Может ли дрон стать причиной авиакатастрофы. Пилоты обеспокоены использованием дронов, особенно в непосредственной близости от аэропортов ",ли дрон стать причина авиакатастрофа пилот обеспокоить использование дрон особенно непосредственный близость аэропорт,1
171,"Ранний звонок от моей сестры, умоляющий меня приехать и поехать с ней в машине скорой помощи в больницу ",ранний звонок сестра умолять приехать поехать машина скорый помощь больница,1
172," В результате крушения пакистанского вертолета санитарной авиации погибло, как опасаются,  человек ",результат крушение пакистанский вертолёт санитарный авиация погибнуть опасаться человек,1
173,Две машины скорой помощи прибыли на место серьезного столкновения двух автомобилей и грузовика в   |  ‰ Û,два машина скорый помощь прибыть место серьёзный столкновение два автомобиль грузовик |,1
174,"В результате крушения пакистанского вертолета скорой помощи погибло  человек, которых опасаются:   ",результат крушение пакистанский вертолёт скорый помощь погибнуть человек опасаться,1
175,Ведущий руководитель службы экстренной помощи приветствует новую благотворительную организацию скорой помощи ,ведущий руководитель служба экстренный помощь приветствовать новый благотворительный организация скорый помощь,0
176,"Любой, кто путешествует по Аберистуиту Шрусбери прямо сейчас, произошел инцидент. Служба остановилась недалеко от машины скорой помощи Шрюс.",любой путешествовать аберистуиту шрусбери прямо сейчас произойти инцидент служба остановиться недалеко машина скорый помощь шрюс,1
177,В результате крушения вертолета санитарной авиации Пакистана погибли  человек ,результат крушение вертолёт санитарный авиация пакистан погибнуть человек,1
178,АВТОМАТИЧЕСКИЙ ПЕРЕДНИЙ АВТОМОБИЛЬ СКОРОЙ ПОМОЩИ ВЫБОР ИЗ  ЛЕЗ |  ,автоматический передний автомобиль скорой помощи выбор лез |,0
179,Новое нанотехнологическое устройство сможет нацеливать и разрушать сгустки крови ,новый нанотехнологический устройство смочь нацеливать разрушать сгусток кровь,0
180,@  @  @  @  это было чертовски сумасшедшим  драки скорая помощь и пара мошпитов,чертовски сумасшедший драка скорый помощь пара мошпитов,1
181,"Если меня сбивает скорая помощь, мне повезет, если я говорю случайную мысль",сбивать скорый помощь повезти говорить случайный мысль,0
182,новости В результате крушения вертолета санитарной авиации Пакистана погибли  человек  _ ,новость результат крушение вертолёт санитарный авиация пакистан погибнуть человек,1
